LON,LAT,EDO,CLAVE,ESTACION,oct-19
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",21.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",22.23
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",64
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",30.23
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",14.44
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",40.62
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",29.34
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",23.53
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",27.22
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",63.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",29
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",70.02
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",23
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",20.41
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",47.02
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",25.74
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",54.61
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",25
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",33
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",83.1
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",92.01
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",101.81
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",36
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",7
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",81
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",57.71
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",52.13
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",64.51
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",115.03
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",25.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",32.4
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",40.21
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",119
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",191.4
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",111.54
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",235.73
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",261.43
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",131.2
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",214.52
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",262.5
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",123.55
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",243.21
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",146
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",303.87
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",360
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",221.81
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",140.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",247
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",207.6
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",275.51
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",288.73
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",233.01
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",249.01
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",55.01
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",62
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",62.9
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",35.91
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",124.01
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",112.5
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",33.02
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",95.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",68.5
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",54.71
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",46.51
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",100.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",38.01
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",22.86
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",56.8
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",36.98
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",70.82
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",18.7
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",11.01
-105.3825,27.577222,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",11.01
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",26.01
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",10.25
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",35.2
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",71.9
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",30.5
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",70.82
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",24.04
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",43.8
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",41.21
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",19.11
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidromÈtrica, Chih. SGT*",3.5
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",32
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",30.2
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",5.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",11.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",23.91
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",34.51
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",59.68
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",100.6
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",40.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",16.03
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",18.75
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",51.22
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",70.82
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",88.1
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",19.1
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",14.74
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",44.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",21.41
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",2.28
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",16.03
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",30
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",31
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",53.01
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",181.6
-92.955278,16.655278,CHIS,ACALACFE,"Acala, Chis. CFE*",119.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",314.91
-92.777778,16.400833,CHIS,ANGOSTURACFE,"Angostura, Chis. CFE*",226.7
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",433.8
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",239.2
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",213
-93.169722,16.615,CHIS,BOQUERONCFE,"BoquerÛn, Chis. CFE*",210.1
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",671.13
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",361
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",400.42
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",253.4
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",335.4
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",488.9
-93.019167,16.706389,CHIS,CHIAPACORZO,"Chiapa de Corzo, Chis. SGT*",103.6
-93.100833,16.941389,CHIS,CHICOASENCFE,"ChicoasÈn, Chis. CFE*",139.7
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",348.8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",145.51
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",238
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",356.6
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",393.4
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",284.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",429.02
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",372
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",274.8
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",235.8
-93.123611,16.971111,CHIS,ELGRIJALVACFE,"El Grijalva, Chis. CFE*",116.1
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",357.52
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",478
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",143.2
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",540.8
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",507.81
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",121.81
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",419.42
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",375
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",238.4
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",216.6
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",150.9
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",371.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",346.29
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",507.81
-93.381389,17.364167,CHIS,JGRIJALVACFE,"T˙neles Juan de Grijalva, Chis. CFE*",474.5
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",361.5
-90.702222,16.580833,CHIS,LACCP,"Lacant˙n, Chis.",358.6
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. OCFS*",66
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",301.2
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",252.6
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",247.6
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",418.53
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",161.2
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",201.7
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",84.2
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",420.4
-93.159722,17.225,CHIS,OCOTEPECCFE,"Ocotepec, Chis. CFE*",392.2
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",266.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",420.02
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",364
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",552.3
-93.474444,17.463611,CHIS,PENITAS,"PeÒitas, Chis. SGT*",465.7
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",507.6
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",245.2
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",162.1
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",254.8
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",262.2
-93.551667,17.353889,CHIS,RCALZADACFE,"RÛmulo Calzada, Chis. CFE*",260.4
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",443.42
-92.661667,15.919722,CHIS,REFORMACFE,"Reforma, Chis. CFE*",417.8
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",359.8
-93.078889,16.160278,CHIS,REVMEXICANACFE,"Revolucion Mexicana, Chis. CFE*",354
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",521.4
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",469.9
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",230.1
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",82.4
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",591.1
-93.331944,17.402222,CHIS,SAYULACFE,"Sayula, Chis. CFE*",560.5
-92.603056,16.727222,CHIS,SCCASASCFE,"San CristÛbal de las Casas, Chis. CFE*",291.9
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",205.3
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",241.93
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",292.72
-93.056389,16.4525,CHIS,SDOMINGOCFE,"Santo Domingo, Chis. CFE*",291.3
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",147.9
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",347.6
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",349.5
-92.916667,17.5,CHIS,SJOTB,"San JoaquÌn, Chis.",514.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",265.31
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",204.6
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",290.51
-93.820278,16.924722,CHIS,STAMARIACFE,"Santa MarÌa, Chis. CFE*",290.5
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SMN*",238.6
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",90.5
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",583.5
-92.296389,14.886944,CHIS,TAPACHULAob,"Observatorio de Tapachula, Chis. SMN*",197.4
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",275.6
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",320.2
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",334
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",83.5
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",181.9
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",112.22
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",108.6
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",118
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",137.12
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",169.1
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",158.1
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",153.31
-93.328333,17.120833,CHIS,YAMONHOCFE,"YamonhÛ, Chis. CFE*",153.8
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",379.1
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",13.02
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",19.02
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",29.01
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",28.51
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",29.8
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",36.02
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",12
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",19
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",6
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",10.71
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",14.9
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",3.5
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas, Ciudad AcuÒa CILA, Coah.",20.4
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",57
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",3
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",4.8
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",53.2
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",12.25
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",0
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",12.6
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",42.01
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",79.75
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",0
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",7.4
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",26
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",0.5
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",18
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",43
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",22
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",2.52
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",9.01
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",1.62
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",42.6
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",47.01
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",70
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",177
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",107.9
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",199.8
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",326.04
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",226.7
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",112.8
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",269.5
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",83.82
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",68.6
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",157.53
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",119.2
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",96.64
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",79
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",68
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",235.41
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",112.4
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",183.01
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",187.3
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",173.02
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",163.32
-99.099722,19.379167,DF,ACULCO,"Planta de bombeo Aculco, Cd. de MÈx. SACMEX*",89.41
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",30.98
-99.210278,19.218611,DF,AJUSCODF,"Ajusco, Cd. de MÈx. SACMEX*",30.73
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de MÈx. UNAM*",102.95
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",53.14
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",99.57
-99.195,19.292222,DF,BTLALPAN,"Rebombeo Bosque de Tlalpan, Cd. de MÈx. SACMEX*",139.74
-98.998056,19.356111,DF,CARCELMUJERES,"C·rcel de Mujeres, Cd. de MÈx. SACMEX*",34.85
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",109.2
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de MÈx. UNAM*",72.09
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de MÈx. UNAM*",56.51
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",120.38
-99.082222,19.408611,DF,CDEPORTIVA,"Ciudad Deportiva, Cd. de MÈx. SACMEX*",108.72
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",34.8
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",108.52
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",93.81
-99.077222,19.336944,DF,CESTRELLA,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx. SACMEX*",121.41
